Leading Cancer Sites,Leading Cancer Sites Code,Year,Age Groups,Age Groups Code,Sex,Sex Code,Race,Race Code,Count
Brain and Other Nervous System,31010-31040,1999,20-24 years,20-24,Female,F,Black or African American,2054-5,22.0
Brain and Other Nervous System,31010-31040,1999,20-24 years,20-24,Female,F,White,2106-3,150.0
Brain and Other Nervous System,31010-31040,1999,20-24 years,20-24,Male,M,Black or African American,2054-5,18.0
Brain and Other Nervous System,31010-31040,1999,20-24 years,20-24,Male,M,White,2106-3,193.0
Brain and Other Nervous System,31010-31040,1999,25-29 years,25-29,Female,F,Black or African American,2054-5,21.0
Brain and Other Nervous System,31010-31040,1999,25-29 years,25-29,Female,F,White,2106-3,233.0
Brain and Other Nervous System,31010-31040,1999,25-29 years,25-29,Male,M,Black or African American,2054-5,24.0
Brain and Other Nervous System,31010-31040,1999,25-29 years,25-29,Male,M,White,2106-3,287.0
Brain and Other Nervous System,31010-31040,1999,30-34 years,30-34,Female,F,Black or African American,2054-5,27.0
Brain and Other Nervous System,31010-31040,1999,30-34 years,30-34,Female,F,White,2106-3,281.0
Brain and Other Nervous System,31010-31040,1999,30-34 years,30-34,Male,M,Asian or Pacific Islander,A-PI,17.0
Brain and Other Nervous System,31010-31040,1999,30-34 years,30-34,Male,M,Black or African American,2054-5,39.0
Brain and Other Nervous System,31010-31040,1999,30-34 years,30-34,Male,M,White,2106-3,403.0
Brain and Other Nervous System,31010-31040,1999,35-39 years,35-39,Female,F,Black or African American,2054-5,28.0
Brain and Other Nervous System,31010-31040,1999,35-39 years,35-39,Female,F,White,2106-3,345.0
Brain and Other Nervous System,31010-31040,1999,35-39 years,35-39,Male,M,Black or African American,2054-5,37.0
Brain and Other Nervous System,31010-31040,1999,35-39 years,35-39,Male,M,White,2106-3,510.0
Brain and Other Nervous System,31010-31040,2000,20-24 years,20-24,Female,F,White,2106-3,165.0
Brain and Other Nervous System,31010-31040,2000,20-24 years,20-24,Male,M,White,2106-3,213.0
Brain and Other Nervous System,31010-31040,2000,25-29 years,25-29,Female,F,White,2106-3,207.0
Brain and Other Nervous System,31010-31040,2000,25-29 years,25-29,Male,M,Black or African American,2054-5,21.0
Brain and Other Nervous System,31010-31040,2000,25-29 years,25-29,Male,M,White,2106-3,297.0
Brain and Other Nervous System,31010-31040,2000,30-34 years,30-34,Female,F,Black or African American,2054-5,26.0
Brain and Other Nervous System,31010-31040,2000,30-34 years,30-34,Female,F,White,2106-3,318.0
Brain and Other Nervous System,31010-31040,2000,30-34 years,30-34,Male,M,Black or African American,2054-5,27.0
Brain and Other Nervous System,31010-31040,2000,30-34 years,30-34,Male,M,White,2106-3,357.0
Brain and Other Nervous System,31010-31040,2000,35-39 years,35-39,Female,F,Black or African American,2054-5,36.0
Brain and Other Nervous System,31010-31040,2000,35-39 years,35-39,Female,F,White,2106-3,372.0
Brain and Other Nervous System,31010-31040,2000,35-39 years,35-39,Male,M,Asian or Pacific Islander,A-PI,19.0
Brain and Other Nervous System,31010-31040,2000,35-39 years,35-39,Male,M,Black or African American,2054-5,34.0
Brain and Other Nervous System,31010-31040,2000,35-39 years,35-39,Male,M,White,2106-3,480.0
Brain and Other Nervous System,31010-31040,2001,20-24 years,20-24,Female,F,Black or African American,2054-5,18.0
Brain and Other Nervous System,31010-31040,2001,20-24 years,20-24,Female,F,White,2106-3,151.0
Brain and Other Nervous System,31010-31040,2001,20-24 years,20-24,Male,M,Black or African American,2054-5,19.0
