Leading Cancer Sites,Leading Cancer Sites Code,Year,Race,Race Code,Count
Brain and Other Nervous System,31010-31040,1999,American Indian or Alaska Native,1002-5,22.0
Brain and Other Nervous System,31010-31040,1999,Asian or Pacific Islander,A-PI,75.0
Brain and Other Nervous System,31010-31040,1999,Black or African American,2054-5,216.0
Brain and Other Nervous System,31010-31040,1999,White,2106-3,2402.0
Brain and Other Nervous System,31010-31040,1999,Other Races and Unknown combined,2131-1,29.0
Brain and Other Nervous System,31010-31040,2000,American Indian or Alaska Native,1002-5,22.0
Brain and Other Nervous System,31010-31040,2000,Asian or Pacific Islander,A-PI,85.0
Brain and Other Nervous System,31010-31040,2000,Black or African American,2054-5,185.0
Brain and Other Nervous System,31010-31040,2000,White,2106-3,2409.0
Brain and Other Nervous System,31010-31040,2000,Other Races and Unknown combined,2131-1,26.0
Brain and Other Nervous System,31010-31040,2001,American Indian or Alaska Native,1002-5,23.0
Brain and Other Nervous System,31010-31040,2001,Asian or Pacific Islander,A-PI,83.0
Brain and Other Nervous System,31010-31040,2001,Black or African American,2054-5,192.0
Brain and Other Nervous System,31010-31040,2001,White,2106-3,2256.0
Brain and Other Nervous System,31010-31040,2001,Other Races and Unknown combined,2131-1,38.0
Brain and Other Nervous System,31010-31040,2002,Asian or Pacific Islander,A-PI,88.0
Brain and Other Nervous System,31010-31040,2002,Black or African American,2054-5,209.0
Brain and Other Nervous System,31010-31040,2002,White,2106-3,2373.0
Brain and Other Nervous System,31010-31040,2002,Other Races and Unknown combined,2131-1,38.0
Brain and Other Nervous System,31010-31040,2003,American Indian or Alaska Native,1002-5,19.0
Brain and Other Nervous System,31010-31040,2003,Asian or Pacific Islander,A-PI,94.0
Brain and Other Nervous System,31010-31040,2003,Black or African American,2054-5,214.0
Brain and Other Nervous System,31010-31040,2003,White,2106-3,2386.0
Brain and Other Nervous System,31010-31040,2003,Other Races and Unknown combined,2131-1,44.0
Brain and Other Nervous System,31010-31040,2004,American Indian or Alaska Native,1002-5,20.0
Brain and Other Nervous System,31010-31040,2004,Asian or Pacific Islander,A-PI,98.0
Brain and Other Nervous System,31010-31040,2004,Black or African American,2054-5,229.0
Brain and Other Nervous System,31010-31040,2004,White,2106-3,2315.0
Brain and Other Nervous System,31010-31040,2004,Other Races and Unknown combined,2131-1,18.0
Brain and Other Nervous System,31010-31040,2005,American Indian or Alaska Native,1002-5,17.0
Brain and Other Nervous System,31010-31040,2005,Asian or Pacific Islander,A-PI,86.0
Brain and Other Nervous System,31010-31040,2005,Black or African American,2054-5,223.0
Brain and Other Nervous System,31010-31040,2005,White,2106-3,2375.0
Brain and Other Nervous System,31010-31040,2005,Other Races and Unknown combined,2131-1,37.0
Brain and Other Nervous System,31010-31040,2006,American Indian or Alaska Native,1002-5,35.0
Brain and Other Nervous System,31010-31040,2006,Asian or Pacific Islander,A-PI,82.0
Brain and Other Nervous System,31010-31040,2006,Black or African American,2054-5,243.0
Brain and Other Nervous System,31010-31040,2006,White,2106-3,2319.0
Brain and Other Nervous System,31010-31040,2006,Other Races and Unknown combined,2131-1,41.0
Brain and Other Nervous System,31010-31040,2007,American Indian or Alaska Native,1002-5,25.0
Brain and Other Nervous System,31010-31040,2007,Asian or Pacific Islander,A-PI,94.0
Brain and Other Nervous System,31010-31040,2007,Black or African American,2054-5,236.0
Brain and Other Nervous System,31010-31040,2007,White,2106-3,2348.0
Brain and Other Nervous System,31010-31040,2007,Other Races and Unknown combined,2131-1,31.0
Brain and Other Nervous System,31010-31040,2008,American Indian or Alaska Native,1002-5,33.0
Brain and Other Nervous System,31010-31040,2008,Asian or Pacific Islander,A-PI,130.0
Brain and Other Nervous System,31010-31040,2008,Black or African American,2054-5,208.0
Brain and Other Nervous System,31010-31040,2008,White,2106-3,2330.0
Brain and Other Nervous System,31010-31040,2008,Other Races and Unknown combined,2131-1,35.0
Brain and Other Nervous System,31010-31040,2009,American Indian or Alaska Native,1002-5,25.0
Brain and Other Nervous System,31010-31040,2009,Asian or Pacific Islander,A-PI,111.0
Brain and Other Nervous System,31010-31040,2009,Black or African American,2054-5,232.0
Brain and Other Nervous System,31010-31040,2009,White,2106-3,2371.0
Brain and Other Nervous System,31010-31040,2009,Other Races and Unknown combined,2131-1,33.0
Brain and Other Nervous System,31010-31040,2010,American Indian or Alaska Native,1002-5,20.0
Brain and Other Nervous System,31010-31040,2010,Asian or Pacific Islander,A-PI,136.0
Brain and Other Nervous System,31010-31040,2010,Black or African American,2054-5,236.0
Brain and Other Nervous System,31010-31040,2010,White,2106-3,2300.0
Brain and Other Nervous System,31010-31040,2010,Other Races and Unknown combined,2131-1,33.0
Brain and Other Nervous System,31010-31040,2011,American Indian or Alaska Native,1002-5,24.0
Brain and Other Nervous System,31010-31040,2011,Asian or Pacific Islander,A-PI,116.0
Brain and Other Nervous System,31010-31040,2011,Black or African American,2054-5,233.0
Brain and Other Nervous System,31010-31040,2011,White,2106-3,2302.0
Brain and Other Nervous System,31010-31040,2011,Other Races and Unknown combined,2131-1,31.0
Brain and Other Nervous System,31010-31040,2012,American Indian or Alaska Native,1002-5,33.0
Brain and Other Nervous System,31010-31040,2012,Asian or Pacific Islander,A-PI,114.0
Brain and Other Nervous System,31010-31040,2012,Black or African American,2054-5,242.0
Brain and Other Nervous System,31010-31040,2012,White,2106-3,2318.0
