Leading Cancer Sites,Leading Cancer Sites Code,Year,Age Groups,Age Group Code,Sex,Sex Code,Race,Race Code,Deaths
Brain and Other Nervous System,31010-31040,1999,20-24 years,20-24,Female,F,White,2106-3,34.0
Brain and Other Nervous System,31010-31040,1999,20-24 years,20-24,Male,M,White,2106-3,51.0
Brain and Other Nervous System,31010-31040,1999,25-29 years,25-29,Female,F,White,2106-3,68.0
Brain and Other Nervous System,31010-31040,1999,25-29 years,25-29,Male,M,White,2106-3,97.0
Brain and Other Nervous System,31010-31040,1999,30-34 years,30-34,Female,F,White,2106-3,85.0
Brain and Other Nervous System,31010-31040,1999,30-34 years,30-34,Male,M,Black or African American,2054-5,17.0
Brain and Other Nervous System,31010-31040,1999,30-34 years,30-34,Male,M,White,2106-3,153.0
Brain and Other Nervous System,31010-31040,1999,35-39 years,35-39,Female,F,White,2106-3,159.0
Brain and Other Nervous System,31010-31040,1999,35-39 years,35-39,Male,M,White,2106-3,249.0
Brain and Other Nervous System,31010-31040,2000,20-24 years,20-24,Female,F,White,2106-3,42.0
Brain and Other Nervous System,31010-31040,2000,20-24 years,20-24,Male,M,White,2106-3,57.0
Brain and Other Nervous System,31010-31040,2000,25-29 years,25-29,Female,F,White,2106-3,58.0
Brain and Other Nervous System,31010-31040,2000,25-29 years,25-29,Male,M,White,2106-3,82.0
Brain and Other Nervous System,31010-31040,2000,30-34 years,30-34,Female,F,White,2106-3,75.0
Brain and Other Nervous System,31010-31040,2000,30-34 years,30-34,Male,M,Black or African American,2054-5,19.0
Brain and Other Nervous System,31010-31040,2000,30-34 years,30-34,Male,M,White,2106-3,145.0
Brain and Other Nervous System,31010-31040,2000,35-39 years,35-39,Female,F,White,2106-3,141.0
Brain and Other Nervous System,31010-31040,2000,35-39 years,35-39,Male,M,Black or African American,2054-5,19.0
Brain and Other Nervous System,31010-31040,2000,35-39 years,35-39,Male,M,White,2106-3,264.0
Brain and Other Nervous System,31010-31040,2001,20-24 years,20-24,Female,F,White,2106-3,42.0
Brain and Other Nervous System,31010-31040,2001,20-24 years,20-24,Male,M,White,2106-3,53.0
Brain and Other Nervous System,31010-31040,2001,25-29 years,25-29,Female,F,White,2106-3,39.0
Brain and Other Nervous System,31010-31040,2001,25-29 years,25-29,Male,M,White,2106-3,81.0
Brain and Other Nervous System,31010-31040,2001,30-34 years,30-34,Female,F,White,2106-3,97.0
Brain and Other Nervous System,31010-31040,2001,30-34 years,30-34,Male,M,White,2106-3,157.0
Brain and Other Nervous System,31010-31040,2001,35-39 years,35-39,Female,F,White,2106-3,142.0
Brain and Other Nervous System,31010-31040,2001,35-39 years,35-39,Male,M,White,2106-3,232.0
Brain and Other Nervous System,31010-31040,2002,20-24 years,20-24,Female,F,White,2106-3,24.0
Brain and Other Nervous System,31010-31040,2002,20-24 years,20-24,Male,M,White,2106-3,62.0
Brain and Other Nervous System,31010-31040,2002,25-29 years,25-29,Female,F,White,2106-3,53.0
Brain and Other Nervous System,31010-31040,2002,25-29 years,25-29,Male,M,White,2106-3,56.0
Brain and Other Nervous System,31010-31040,2002,30-34 years,30-34,Female,F,White,2106-3,94.0
Brain and Other Nervous System,31010-31040,2002,30-34 years,30-34,Male,M,Black or African American,2054-5,17.0
Brain and Other Nervous System,31010-31040,2002,30-34 years,30-34,Male,M,White,2106-3,135.0
Brain and Other Nervous System,31010-31040,2002,35-39 years,35-39,Female,F,White,2106-3,138.0
Brain and Other Nervous System,31010-31040,2002,35-39 years,35-39,Male,M,Black or African American,2054-5,16.0
Brain and Other Nervous System,31010-31040,2002,35-39 years,35-39,Male,M,White,2106-3,203.0
Brain and Other Nervous System,31010-31040,2003,20-24 years,20-24,Female,F,White,2106-3,41.0
Brain and Other Nervous System,31010-31040,2003,20-24 years,20-24,Male,M,White,2106-3,57.0
Brain and Other Nervous System,31010-31040,2003,25-29 years,25-29,Female,F,White,2106-3,69.0
Brain and Other Nervous System,31010-31040,2003,25-29 years,25-29,Male,M,White,2106-3,75.0
Brain and Other Nervous System,31010-31040,2003,30-34 years,30-34,Female,F,White,2106-3,80.0
Brain and Other Nervous System,31010-31040,2003,30-34 years,30-34,Male,M,White,2106-3,131.0
Brain and Other Nervous System,31010-31040,2003,35-39 years,35-39,Female,F,White,2106-3,149.0
Brain and Other Nervous System,31010-31040,2003,35-39 years,35-39,Male,M,Black or African American,2054-5,23.0
Brain and Other Nervous System,31010-31040,2003,35-39 years,35-39,Male,M,White,2106-3,217.0
Brain and Other Nervous System,31010-31040,2004,20-24 years,20-24,Female,F,White,2106-3,34.0
Brain and Other Nervous System,31010-31040,2004,20-24 years,20-24,Male,M,White,2106-3,59.0
Brain and Other Nervous System,31010-31040,2004,25-29 years,25-29,Female,F,White,2106-3,49.0
Brain and Other Nervous System,31010-31040,2004,25-29 years,25-29,Male,M,White,2106-3,66.0
Brain and Other Nervous System,31010-31040,2004,30-34 years,30-34,Female,F,White,2106-3,71.0
Brain and Other Nervous System,31010-31040,2004,30-34 years,30-34,Male,M,White,2106-3,120.0
Brain and Other Nervous System,31010-31040,2004,35-39 years,35-39,Female,F,White,2106-3,116.0
Brain and Other Nervous System,31010-31040,2004,35-39 years,35-39,Male,M,White,2106-3,203.0
Brain and Other Nervous System,31010-31040,2005,20-24 years,20-24,Female,F,White,2106-3,42.0
Brain and Other Nervous System,31010-31040,2005,20-24 years,20-24,Male,M,White,2106-3,57.0
Brain and Other Nervous System,31010-31040,2005,25-29 years,25-29,Female,F,White,2106-3,42.0
Brain and Other Nervous System,31010-31040,2005,25-29 years,25-29,Male,M,Black or African American,2054-5,16.0
Brain and Other Nervous System,31010-31040,2005,25-29 years,25-29,Male,M,White,2106-3,95.0
Brain and Other Nervous System,31010-31040,2005,30-34 years,30-34,Female,F,White,2106-3,73.0
Brain and Other Nervous System,31010-31040,2005,30-34 years,30-34,Male,M,White,2106-3,119.0
Brain and Other Nervous System,31010-31040,2005,35-39 years,35-39,Female,F,White,2106-3,110.0
Brain and Other Nervous System,31010-31040,2005,35-39 years,35-39,Male,M,White,2106-3,185.0
Brain and Other Nervous System,31010-31040,2006,20-24 years,20-24,Female,F,White,2106-3,38.0
Brain and Other Nervous System,31010-31040,2006,20-24 years,20-24,Male,M,White,2106-3,47.0
Brain and Other Nervous System,31010-31040,2006,25-29 years,25-29,Female,F,White,2106-3,50.0
Brain and Other Nervous System,31010-31040,2006,25-29 years,25-29,Male,M,White,2106-3,84.0
Brain and Other Nervous System,31010-31040,2006,30-34 years,30-34,Female,F,White,2106-3,85.0
Brain and Other Nervous System,31010-31040,2006,30-34 years,30-34,Male,M,White,2106-3,108.0
Brain and Other Nervous System,31010-31040,2006,35-39 years,35-39,Female,F,White,2106-3,112.0
Brain and Other Nervous System,31010-31040,2006,35-39 years,35-39,Male,M,Black or African American,2054-5,18.0
Brain and Other Nervous System,31010-31040,2006,35-39 years,35-39,Male,M,White,2106-3,184.0
Brain and Other Nervous System,31010-31040,2007,20-24 years,20-24,Female,F,White,2106-3,34.0
Brain and Other Nervous System,31010-31040,2007,20-24 years,20-24,Male,M,White,2106-3,55.0
Brain and Other Nervous System,31010-31040,2007,25-29 years,25-29,Female,F,White,2106-3,40.0
Brain and Other Nervous System,31010-31040,2007,25-29 years,25-29,Male,M,White,2106-3,80.0
Brain and Other Nervous System,31010-31040,2007,30-34 years,30-34,Female,F,White,2106-3,84.0
Brain and Other Nervous System,31010-31040,2007,30-34 years,30-34,Male,M,White,2106-3,112.0
Brain and Other Nervous System,31010-31040,2007,35-39 years,35-39,Female,F,White,2106-3,104.0
