States,States Code,Count
Alabama,1.0,13633.0
Alaska,2.0,1968.0
Arizona,4.0,15601.0
Arkansas,5.0,7811.0
California,6.0,99367.0
Colorado,8.0,14465.0
Connecticut,9.0,10066.0
Delaware,10.0,2621.0
District of Columbia,11.0,2287.0
Florida,12.0,53954.0
Georgia,13.0,29737.0
Hawaii,15.0,3834.0
Idaho,16.0,4194.0
Illinois,17.0,36407.0
Indiana,18.0,16529.0
Iowa,19.0,9125.0
Kansas,20.0,8420.0
Kentucky,21.0,14151.0
Louisiana,22.0,13097.0
Maine,23.0,3670.0
Maryland,24.0,16874.0
Massachusetts,25.0,18715.0
Michigan,26.0,28182.0
Minnesota,27.0,16343.0
Mississippi,28.0,6843.0
Missouri,29.0,16524.0
Montana,30.0,2638.0
Nebraska,31.0,5319.0
Nevada,32.0,6572.0
New Hampshire,33.0,3805.0
New Jersey,34.0,25838.0
New Mexico,35.0,4799.0
New York,36.0,57570.0
North Carolina,37.0,28467.0
North Dakota,38.0,1879.0
Ohio,39.0,32931.0
Oklahoma,40.0,10476.0
Oregon,41.0,11013.0
Pennsylvania,42.0,35333.0
Rhode Island,44.0,3098.0
South Carolina,45.0,13443.0
South Dakota,46.0,2010.0
Tennessee,47.0,17852.0
Texas,48.0,70988.0
Utah,49.0,8672.0
Vermont,50.0,1768.0
Virginia,51.0,21646.0
Washington,53.0,20680.0
West Virginia,54.0,5502.0
Wisconsin,55.0,15760.0
Wyoming,56.0,1408.0
,,873885.0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
