Leading Cancer Sites,Leading Cancer Sites Code,State,State Code,Deaths
Brain and Other Nervous System,31010-31040,Alabama,1.0,302.0
Brain and Other Nervous System,31010-31040,Alaska,2.0,54.0
Brain and Other Nervous System,31010-31040,Arizona,4.0,397.0
Brain and Other Nervous System,31010-31040,Arkansas,5.0,203.0
Brain and Other Nervous System,31010-31040,California,6.0,2371.0
Brain and Other Nervous System,31010-31040,Colorado,8.0,336.0
Brain and Other Nervous System,31010-31040,Connecticut,9.0,206.0
Brain and Other Nervous System,31010-31040,Delaware,10.0,60.0
Brain and Other Nervous System,31010-31040,District of Columbia,11.0,40.0
Brain and Other Nervous System,31010-31040,Florida,12.0,1068.0
Brain and Other Nervous System,31010-31040,Georgia,13.0,589.0
Brain and Other Nervous System,31010-31040,Hawaii,15.0,65.0
Brain and Other Nervous System,31010-31040,Idaho,16.0,144.0
Brain and Other Nervous System,31010-31040,Illinois,17.0,817.0
Brain and Other Nervous System,31010-31040,Indiana,18.0,465.0
Brain and Other Nervous System,31010-31040,Iowa,19.0,249.0
Brain and Other Nervous System,31010-31040,Kansas,20.0,249.0
Brain and Other Nervous System,31010-31040,Kentucky,21.0,329.0
Brain and Other Nervous System,31010-31040,Louisiana,22.0,289.0
Brain and Other Nervous System,31010-31040,Maine,23.0,102.0
Brain and Other Nervous System,31010-31040,Maryland,24.0,347.0
Brain and Other Nervous System,31010-31040,Massachusetts,25.0,430.0
Brain and Other Nervous System,31010-31040,Michigan,26.0,708.0
Brain and Other Nervous System,31010-31040,Minnesota,27.0,425.0
Brain and Other Nervous System,31010-31040,Mississippi,28.0,218.0
Brain and Other Nervous System,31010-31040,Missouri,29.0,422.0
Brain and Other Nervous System,31010-31040,Montana,30.0,78.0
Brain and Other Nervous System,31010-31040,Nebraska,31.0,130.0
Brain and Other Nervous System,31010-31040,Nevada,32.0,154.0
Brain and Other Nervous System,31010-31040,New Hampshire,33.0,92.0
Brain and Other Nervous System,31010-31040,New Jersey,34.0,469.0
Brain and Other Nervous System,31010-31040,New Mexico,35.0,113.0
Brain and Other Nervous System,31010-31040,New York,36.0,1146.0
Brain and Other Nervous System,31010-31040,North Carolina,37.0,579.0
Brain and Other Nervous System,31010-31040,North Dakota,38.0,47.0
Brain and Other Nervous System,31010-31040,Ohio,39.0,813.0
Brain and Other Nervous System,31010-31040,Oklahoma,40.0,298.0
Brain and Other Nervous System,31010-31040,Oregon,41.0,284.0
Brain and Other Nervous System,31010-31040,Pennsylvania,42.0,757.0
Brain and Other Nervous System,31010-31040,Rhode Island,44.0,69.0
Brain and Other Nervous System,31010-31040,South Carolina,45.0,281.0
