Leading Cancer Sites,Leading Cancer Sites Code,Year,Sex,Sex Code,Race,Race Code,Count
Brain and Other Nervous System,31010-31040,1999,Female,F,Asian or Pacific Islander,A-PI,30.0
Brain and Other Nervous System,31010-31040,1999,Female,F,Black or African American,2054-5,98.0
Brain and Other Nervous System,31010-31040,1999,Female,F,White,2106-3,1009.0
Brain and Other Nervous System,31010-31040,1999,Male,M,Asian or Pacific Islander,A-PI,45.0
Brain and Other Nervous System,31010-31040,1999,Male,M,Black or African American,2054-5,118.0
Brain and Other Nervous System,31010-31040,1999,Male,M,White,2106-3,1393.0
Brain and Other Nervous System,31010-31040,1999,Male,M,Other Races and Unknown combined,2131-1,21.0
Brain and Other Nervous System,31010-31040,2000,Female,F,Asian or Pacific Islander,A-PI,38.0
Brain and Other Nervous System,31010-31040,2000,Female,F,Black or African American,2054-5,89.0
Brain and Other Nervous System,31010-31040,2000,Female,F,White,2106-3,1062.0
Brain and Other Nervous System,31010-31040,2000,Male,M,Asian or Pacific Islander,A-PI,47.0
Brain and Other Nervous System,31010-31040,2000,Male,M,Black or African American,2054-5,96.0
Brain and Other Nervous System,31010-31040,2000,Male,M,White,2106-3,1347.0
Brain and Other Nervous System,31010-31040,2000,Male,M,Other Races and Unknown combined,2131-1,20.0
Brain and Other Nervous System,31010-31040,2001,Female,F,Asian or Pacific Islander,A-PI,37.0
Brain and Other Nervous System,31010-31040,2001,Female,F,Black or African American,2054-5,86.0
Brain and Other Nervous System,31010-31040,2001,Female,F,White,2106-3,973.0
Brain and Other Nervous System,31010-31040,2001,Male,M,Asian or Pacific Islander,A-PI,46.0
Brain and Other Nervous System,31010-31040,2001,Male,M,Black or African American,2054-5,106.0
Brain and Other Nervous System,31010-31040,2001,Male,M,White,2106-3,1283.0
Brain and Other Nervous System,31010-31040,2001,Male,M,Other Races and Unknown combined,2131-1,25.0
Brain and Other Nervous System,31010-31040,2002,Female,F,Asian or Pacific Islander,A-PI,38.0
Brain and Other Nervous System,31010-31040,2002,Female,F,Black or African American,2054-5,95.0
Brain and Other Nervous System,31010-31040,2002,Female,F,White,2106-3,1053.0
Brain and Other Nervous System,31010-31040,2002,Male,M,Asian or Pacific Islander,A-PI,50.0
Brain and Other Nervous System,31010-31040,2002,Male,M,Black or African American,2054-5,114.0
Brain and Other Nervous System,31010-31040,2002,Male,M,White,2106-3,1320.0
Brain and Other Nervous System,31010-31040,2002,Male,M,Other Races and Unknown combined,2131-1,25.0
Brain and Other Nervous System,31010-31040,2003,Female,F,Asian or Pacific Islander,A-PI,53.0
Brain and Other Nervous System,31010-31040,2003,Female,F,Black or African American,2054-5,89.0
Brain and Other Nervous System,31010-31040,2003,Female,F,White,2106-3,1002.0
Brain and Other Nervous System,31010-31040,2003,Female,F,Other Races and Unknown combined,2131-1,26.0
Brain and Other Nervous System,31010-31040,2003,Male,M,Asian or Pacific Islander,A-PI,41.0
Brain and Other Nervous System,31010-31040,2003,Male,M,Black or African American,2054-5,125.0
Brain and Other Nervous System,31010-31040,2003,Male,M,White,2106-3,1384.0
Brain and Other Nervous System,31010-31040,2003,Male,M,Other Races and Unknown combined,2131-1,18.0
